"btrim","btrim","st_astext","st_asgeojson"
"3138","AAPT CO Global One","POINT(149.124905340808 -35.2805844289657)","{""type"":""MultiPolygon"",""coordinates"":[[[[149.124910999999997,-35.280425000000001],[149.125089000000003,-35.280531000000003],[149.124900999999994,-35.280743000000001],[149.124720999999994,-35.280639000000001],[149.124910999999997,-35.280425000000001]]]]}"
"3523","437 Williamstown Rd","POINT(144.934891083158 -37.8326732485964)","{""type"":""MultiPolygon"",""coordinates"":[[[[144.934581000000009,-37.832568000000002],[144.934679999999986,-37.832881],[144.935201000000006,-37.832777999999998],[144.935102999999998,-37.832465999999997],[144.934581000000009,-37.832568000000002]]]]}"
"3745","4 Figtree Dr","POINT(151.071634424738 -33.8498159771124)","{""type"":""MultiPolygon"",""coordinates"":[[[[151.071692000000013,-33.849516999999999],[151.071269999999998,-33.849761000000001],[151.071586999999994,-33.850121999999999],[151.07199,-33.849871999999998],[151.071764999999999,-33.849600000000002],[151.071787,-33.849584999999998],[151.07179099999999,-33.849573999999997],[151.071785000000006,-33.849563000000003],[151.071774000000005,-33.849556999999997],[151.071760000000012,-33.849556],[151.071748000000014,-33.849561999999999],[151.071740000000005,-33.849567999999998],[151.071692000000013,-33.849516999999999]]]]}"
"3996","Polaris Data Centre","POINT(152.898700393905 -27.6816517168189)","{""type"":""MultiPolygon"",""coordinates"":[[[[152.898626000000007,-27.681263999999999],[152.898540999999994,-27.681336000000002],[152.898494999999997,-27.681290000000001],[152.898223000000002,-27.681533000000002],[152.898831000000001,-27.682072000000002],[152.899098000000009,-27.681833000000001],[152.899079,-27.681816000000001],[152.899156000000005,-27.681742],[152.898626000000007,-27.681263999999999]]]]}"
"4831","12 Brookhollow Ave","POINT(150.969895348824 -33.7337021955006)","{""type"":""MultiPolygon"",""coordinates"":[[[[150.969640999999996,-33.733761999999999],[150.969607999999994,-33.733772999999999],[150.969670000000008,-33.733905],[150.970229999999987,-33.733747999999999],[150.970188000000007,-33.733545999999997],[150.970039000000014,-33.733589000000002],[150.97002599999999,-33.733572000000002],[150.970000999999996,-33.733555000000003],[150.969975000000005,-33.733545999999997],[150.969951000000009,-33.733542],[150.969922999999994,-33.733542999999997],[150.969886000000002,-33.733550999999999],[150.969889999999992,-33.733561000000002],[150.969867999999991,-33.733566000000003],[150.969864000000001,-33.733553999999998],[150.969819999999999,-33.733564000000001],[150.969809999999995,-33.733536000000001],[150.969730999999996,-33.733559],[150.969743999999992,-33.733589000000002],[150.969625000000008,-33.733623999999999],[150.969604000000004,-33.733634000000002],[150.969594999999998,-33.733646999999998],[150.969595999999996,-33.733659000000003],[150.969640999999996,-33.733761999999999]]]]}"
"4844","Equinix SY3","POINT(151.192771503996 -33.9116654768283)","{""type"":""MultiPolygon"",""coordinates"":[[[[151.191774000000009,-33.911603999999997],[151.191859999999991,-33.911658000000003],[151.192509000000001,-33.912075000000002],[151.192619000000008,-33.912146],[151.192766000000006,-33.912241000000002],[151.193023000000011,-33.912405999999997],[151.193099999999987,-33.912455000000001],[151.193770000000001,-33.911717000000003],[151.19274999999999,-33.911079999999998],[151.192430000000002,-33.910882000000001],[151.192274999999995,-33.911037999999998],[151.192228,-33.911110000000001],[151.191774000000009,-33.911603999999997]]]]}"
"4869","ASX Australian Liquidity Centre Bldg B1","POINT(151.186342890722 -33.8199958635416)","{""type"":""MultiPolygon"",""coordinates"":[[[[151.186522999999994,-33.819678000000003],[151.186764000000011,-33.820010000000003],[151.186691999999994,-33.820047000000002],[151.186724999999996,-33.820093999999997],[151.186669999999992,-33.820123000000002],[151.186659999999989,-33.820112000000002],[151.186306000000002,-33.820292000000002],[151.18631400000001,-33.820303000000003],[151.186258000000009,-33.820331000000003],[151.186251999999996,-33.820323000000002],[151.186204000000004,-33.820346999999998],[151.185908000000012,-33.819938999999998],[151.185957999999999,-33.819913],[151.185949999999991,-33.819902999999996],[151.186005999999992,-33.819873999999999],[151.186013000000003,-33.819884000000002],[151.18636699999999,-33.819705999999996],[151.186361000000005,-33.819696],[151.186415000000011,-33.819668999999998],[151.18644900000001,-33.819715000000002],[151.186522999999994,-33.819678000000003]]]]}"
"4901","NextDC M1","POINT(144.932254908672 -37.8227142874625)","{""type"":""MultiPolygon"",""coordinates"":[[[[144.932117000000005,-37.822209000000001],[144.932060000000007,-37.822412],[144.931803000000002,-37.822366000000002],[144.931625999999994,-37.822996000000003],[144.932677000000012,-37.823177000000001],[144.932850000000002,-37.822547999999998],[144.932600000000008,-37.822508999999997],[144.93265199999999,-37.822308],[144.932117000000005,-37.822209000000001]]]]}"
"4920","Fujitsu Western Sydney Data Centre","POINT(150.924005790343 -33.8218788917804)","{""type"":""MultiPolygon"",""coordinates"":[[[[150.924463000000003,-33.821441999999998],[150.924319999999994,-33.822184],[150.924337000000008,-33.822184],[150.924305000000004,-33.822355999999999],[150.923322000000013,-33.822228000000003],[150.923327999999998,-33.822200000000002],[150.923147999999998,-33.822177000000003],[150.923161999999991,-33.822099000000001],[150.923346000000009,-33.822122],[150.923341999999991,-33.822135000000003],[150.923650000000009,-33.822175999999999],[150.923806000000013,-33.821356999999999],[150.924463000000003,-33.821441999999998]]]]}"
"4967","19 Battye Street","POINT(149.096264205719 -35.2453417650465)","{""type"":""MultiPolygon"",""coordinates"":[[[[149.096384,-35.245787],[149.096496000000002,-35.245646000000001],[149.096396999999996,-35.245593],[149.096617000000009,-35.245280999999999],[149.096598999999998,-35.245269999999998],[149.096678999999995,-35.245164000000003],[149.096104999999994,-35.244884999999996],[149.096037999999993,-35.245123999999997],[149.096082999999993,-35.245113000000003],[149.096123000000006,-35.245142000000001],[149.095841000000007,-35.245516000000002],[149.096384,-35.245787]]]]}"
